Close;Data;Position
0.988;22.08.1993;1
0.993;29.08.1993;8
1.000;05.09.1993;15
1.020;12.09.1993;22
1.300;19.09.1993;29
1.169;26.09.1993;36
1.194;03.10.1993;43
1.196;10.10.1993;50
1.194;17.10.1993;57
1.187;24.10.1993;64
1.179;31.10.1993;71
1.183;07.11.1993;78
1.206;14.11.1993;85
1.222;21.11.1993;92
1.232;28.11.1993;99
1.232;05.12.1993;106
1.250;12.12.1993;113
1.253;19.12.1993;120
1.250;26.12.1993;127
1.262;02.01.1994;134
1.359;09.01.1994;141
1.547;16.01.1994;148
1.545;23.01.1994;155
1.563;30.01.1994;162
1.570;06.02.1994;169
1.570;13.02.1994;176
1.660;20.02.1994;183
1.694;27.02.1994;190
1.709;06.03.1994;197
1.725;13.03.1994;204
1.745;20.03.1994;211
1.764;27.03.1994;218
1.775;03.04.1994;225
1.796;10.04.1994;232
1.813;17.04.1994;239
1.835;24.04.1994;246
1.857;01.05.1994;253
1.876;08.05.1994;260
1.889;15.05.1994;267
1.904;22.05.1994;274
1.921;29.05.1994;281
1.955;05.06.1994;288
1.962;12.06.1994;295
1.982;19.06.1994;302
1.991;26.06.1994;309
2.015;03.07.1994;316
2.027;10.07.1994;323
2.049;17.07.1994;330
2.063;24.07.1994;337
2.088;31.07.1994;344
2.115;07.08.1994;351
2.154;14.08.1994;358
2.156;21.08.1994;365
2.205;28.08.1994;372
2.207;04.09.1994;379
2.310;11.09.1994;386
2.418;18.09.1994;393
2.636;25.09.1994;400
2.836;02.10.1994;407
2.997;09.10.1994;414
3.025;16.10.1994;421
3.068;23.10.1994;428
3.105;30.10.1994;435
3.111;06.11.1994;442
3.170;13.11.1994;449
3.219;20.11.1994;456
3.264;27.11.1994;463
3.326;04.12.1994;470
3.398;11.12.1994;477
3.479;18.12.1994;484
3.553;25.12.1994;491
3.670;01.01.1995;498
3.779;08.01.1995;505
3.950;15.01.1995;512
4.022;22.01.1995;519
4.118;29.01.1995;526
4.194;05.02.1995;533
4.317;12.02.1995;540
4.432;19.02.1995;547
4.561;26.02.1995;554
4.675;05.03.1995;561
4.791;12.03.1995;568
4.870;19.03.1995;575
4.902;26.03.1995;582
4.975;02.04.1995;589
5.049;09.04.1995;596
5.056;16.04.1995;603
5.119;23.04.1995;610
5.133;30.04.1995;617
5.091;07.05.1995;624
5.044;14.05.1995;631
5.022;21.05.1995;638
4.946;28.05.1995;645
4.884;04.06.1995;652
4.668;11.06.1995;659
4.570;18.06.1995;666
4.542;25.06.1995;673
4.584;02.07.1995;680
4.553;09.07.1995;687
4.498;16.07.1995;694
4.423;23.07.1995;701
4.419;30.07.1995;708
4.408;06.08.1995;715
4.411;13.08.1995;722
4.425;20.08.1995;729
4.450;27.08.1995;736
4.477;03.09.1995;743
4.468;10.09.1995;750
4.477;17.09.1995;757
4.502;24.09.1995;764
4.496;01.10.1995;771
4.512;08.10.1995;778
4.509;15.10.1995;785
4.507;22.10.1995;792
4.522;29.10.1995;799
4.525;05.11.1995;806
4.547;12.11.1995;813
4.572;19.11.1995;820
4.581;26.11.1995;827
4.607;03.12.1995;834
4.622;10.12.1995;841
4.647;17.12.1995;848
4.648;24.12.1995;855
4.668;31.12.1995;862
4.675;07.01.1996;869
4.688;14.01.1996;876
4.727;21.01.1996;883
4.741;28.01.1996;890
4.746;04.02.1996;897
4.763;11.02.1996;904
4.791;18.02.1996;911
4.823;25.02.1996;918
4.828;03.03.1996;925
4.838;10.03.1996;932
4.850;17.03.1996;939
4.859;24.03.1996;946
4.876;31.03.1996;953
4.907;07.04.1996;960
4.921;14.04.1996;967
4.937;21.04.1996;974
4.943;28.04.1996;981
4.961;05.05.1996;988
4.998;12.05.1996;995
5.008;19.05.1996;1002
5.034;26.05.1996;1009
5.054;02.06.1996;1016
5.049;09.06.1996;1023
5.053;16.06.1996;1030
5.109;23.06.1996;1037
5.138;30.06.1996;1044
5.130;07.07.1996;1051
5.153;14.07.1996;1058
5.184;21.07.1996;1065
5.215;28.07.1996;1072
5.265;04.08.1996;1079
5.294;11.08.1996;1086
5.330;18.08.1996;1093
5.356;25.08.1996;1100
5.360;01.09.1996;1107
5.371;08.09.1996;1114
5.386;15.09.1996;1121
5.398;22.09.1996;1128
5.421;29.09.1996;1135
5.430;06.10.1996;1142
5.438;13.10.1996;1149
5.446;20.10.1996;1156
5.460;27.10.1996;1163
5.465;03.11.1996;1170
5.485;10.11.1996;1177
5.496;17.11.1996;1184
5.515;24.11.1996;1191
5.523;01.12.1996;1198
5.543;08.12.1996;1205
5.550;15.12.1996;1212
5.554;22.12.1996;1219
5.554;29.12.1996;1226
5.589;05.01.1997;1233
5.606;12.01.1997;1240
5.619;19.01.1997;1247
5.631;26.01.1997;1254
5.638;02.02.1997;1261
5.653;09.02.1997;1268
5.668;16.02.1997;1275
5.679;23.02.1997;1282
5.694;02.03.1997;1289
5.697;09.03.1997;1296
5.713;16.03.1997;1303
5.722;23.03.1997;1310
5.736;30.03.1997;1317
5.745;06.04.1997;1324
5.753;13.04.1997;1331
5.759;20.04.1997;1338
5.763;27.04.1997;1345
5.769;04.05.1997;1352
5.772;11.05.1997;1359
5.772;18.05.1997;1366
5.774;25.05.1997;1373
5.765;01.06.1997;1380
5.782;08.06.1997;1387
5.783;15.06.1997;1394
5.783;22.06.1997;1401
5.783;29.06.1997;1408
5.785;06.07.1997;1415
5.782;13.07.1997;1422
5.795;20.07.1997;1429
5.801;27.07.1997;1436
5.805;03.08.1997;1443
5.809;10.08.1997;1450
5.817;17.08.1997;1457
5.824;24.08.1997;1464
5.836;31.08.1997;1471
5.840;07.09.1997;1478
5.849;14.09.1997;1485
5.855;21.09.1997;1492
5.860;28.09.1997;1499
5.867;05.10.1997;1506
5.873;12.10.1997;1513
5.874;19.10.1997;1520
5.882;26.10.1997;1527
5.885;02.11.1997;1534
5.895;09.11.1997;1541
5.900;16.11.1997;1548
5.910;23.11.1997;1555
5.923;30.11.1997;1562
5.928;07.12.1997;1569
5.936;14.12.1997;1576
5.948;21.12.1997;1583
5.951;28.12.1997;1590
5.965;04.01.1998;1597
5.988;11.01.1998;1604
6.007;18.01.1998;1611
6.013;25.01.1998;1618
6.028;01.02.1998;1625
6.039;08.02.1998;1632
6.051;15.02.1998;1639
6.062;22.02.1998;1646
6.069;01.03.1998;1653
6.078;08.03.1998;1660
6.087;15.03.1998;1667
6.093;22.03.1998;1674
6.103;29.03.1998;1681
6.110;05.04.1998;1688
6.118;12.04.1998;1695
6.120;19.04.1998;1702
6.123;26.04.1998;1709
6.128;03.05.1998;1716
6.134;10.05.1998;1723
6.146;17.05.1998;1730
6.148;24.05.1998;1737
6.156;31.05.1998;1744
6.159;07.06.1998;1751
6.172;14.06.1998;1758
6.179;21.06.1998;1765
6.187;28.06.1998;1772
6.196;05.07.1998;1779
6.201;12.07.1998;1786
6.208;19.07.1998;1793
6.222;26.07.1998;1800
6.234;02.08.1998;1807
6.256;09.08.1998;1814
6.988;16.08.1998;1821
11.982;23.08.1998;1828
16.972;30.08.1998;1835
12.857;06.09.1998;1842
14.581;13.09.1998;1849
15.590;20.09.1998;1856
15.885;27.09.1998;1863
15.819;04.10.1998;1870
13.539;11.10.1998;1877
16.739;18.10.1998;1884
16.629;25.10.1998;1891
15.629;01.11.1998;1898
18.089;08.11.1998;1905
17.729;15.11.1998;1912
18.229;22.11.1998;1919
20.589;29.11.1998;1926
21.279;06.12.1998;1933
21.859;13.12.1998;1940
20.240;20.12.1998;1947
20.600;27.12.1998;1954
23.280;03.01.1999;1961
22.680;10.01.1999;1968
23.280;17.01.1999;1975
22.930;24.01.1999;1982
23.230;31.01.1999;1989
22.870;07.02.1999;1996
23.080;14.02.1999;2003
23.055;21.02.1999;2010
23.380;28.02.1999;2017
23.400;07.03.1999;2024
23.930;14.03.1999;2031
26.870;21.03.1999;2038
26.180;28.03.1999;2045
25.555;04.04.1999;2052
25.530;11.04.1999;2059
24.880;18.04.1999;2066
24.570;25.04.1999;2073
24.545;02.05.1999;2080
25.430;09.05.1999;2087
24.804;16.05.1999;2094
24.689;23.05.1999;2101
24.549;30.05.1999;2108
24.414;06.06.1999;2115
24.334;13.06.1999;2122
24.364;20.06.1999;2129
24.474;27.06.1999;2136
24.404;04.07.1999;2143
24.314;11.07.1999;2150
24.239;18.07.1999;2157
24.224;25.07.1999;2164
24.704;01.08.1999;2171
24.964;08.08.1999;2178
24.904;15.08.1999;2185
24.789;22.08.1999;2192
25.874;29.08.1999;2199
25.744;05.09.1999;2206
25.554;12.09.1999;2213
25.359;19.09.1999;2220
25.489;26.09.1999;2227
25.774;03.10.1999;2234
25.934;10.10.1999;2241
25.754;17.10.1999;2248
26.084;24.10.1999;2255
26.254;31.10.1999;2262
26.333;07.11.1999;2269
26.423;14.11.1999;2276
26.468;21.11.1999;2283
26.783;28.11.1999;2290
26.923;05.12.1999;2297
26.763;12.12.1999;2304
26.738;19.12.1999;2311
27.528;26.12.1999;2318
27.433;02.01.2000;2325
28.633;09.01.2000;2332
28.508;16.01.2000;2339
28.613;23.01.2000;2346
28.767;30.01.2000;2353
28.852;06.02.2000;2360
28.812;13.02.2000;2367
28.686;20.02.2000;2374
28.596;27.02.2000;2381
28.481;05.03.2000;2388
28.413;12.03.2000;2395
28.326;19.03.2000;2402
28.637;26.03.2000;2409
28.622;02.04.2000;2416
28.464;09.04.2000;2423
28.591;16.04.2000;2430
28.406;23.04.2000;2437
28.376;30.04.2000;2444
28.256;07.05.2000;2451
28.316;14.05.2000;2458
28.261;21.05.2000;2465
28.376;28.05.2000;2472
28.366;04.06.2000;2479
28.262;11.06.2000;2486
28.138;18.06.2000;2493
28.048;25.06.2000;2500
27.975;02.07.2000;2507
27.833;09.07.2000;2514
27.619;16.07.2000;2521
27.799;23.07.2000;2528
27.724;30.07.2000;2535
27.685;06.08.2000;2542
27.719;13.08.2000;2549
27.700;20.08.2000;2556
27.746;27.08.2000;2563
27.860;03.09.2000;2570
27.721;10.09.2000;2577
27.818;17.09.2000;2584
27.761;24.09.2000;2591
27.930;01.10.2000;2598
27.843;08.10.2000;2605
27.937;15.10.2000;2612
27.810;22.10.2000;2619
27.834;29.10.2000;2626
27.805;05.11.2000;2633
27.798;12.11.2000;2640
27.885;19.11.2000;2647
27.863;26.11.2000;2654
27.970;03.12.2000;2661
27.949;10.12.2000;2668
27.955;17.12.2000;2675
28.140;24.12.2000;2682
28.420;31.12.2000;2689
28.300;07.01.2001;2696
28.344;14.01.2001;2703
28.362;21.01.2001;2710
28.439;28.01.2001;2717
28.668;04.02.2001;2724
28.662;11.02.2001;2731
28.748;18.02.2001;2738
28.646;25.02.2001;2745
28.651;04.03.2001;2752
28.657;11.03.2001;2759
28.753;18.03.2001;2766
28.741;25.03.2001;2773
28.833;01.04.2001;2780
28.841;08.04.2001;2787
28.871;15.04.2001;2794
28.841;22.04.2001;2801
28.953;29.04.2001;2808
28.961;06.05.2001;2815
29.075;13.05.2001;2822
29.078;20.05.2001;2829
29.150;27.05.2001;2836
29.146;03.06.2001;2843
29.061;10.06.2001;2850
29.061;17.06.2001;2857
29.127;24.06.2001;2864
29.187;01.07.2001;2871
29.189;08.07.2001;2878
29.262;15.07.2001;2885
29.265;22.07.2001;2892
29.345;29.07.2001;2899
29.320;05.08.2001;2906
29.344;12.08.2001;2913
29.353;19.08.2001;2920
29.403;26.08.2001;2927
29.430;02.09.2001;2934
29.450;09.09.2001;2941
29.408;16.09.2001;2948
29.447;23.09.2001;2955
29.498;30.09.2001;2962
29.488;07.10.2001;2969
29.539;14.10.2001;2976
29.691;21.10.2001;2983
29.741;28.10.2001;2990
29.711;04.11.2001;2997
29.820;11.11.2001;3004
29.935;18.11.2001;3011
29.895;25.11.2001;3018
30.059;02.12.2001;3025
30.315;09.12.2001;3032
30.241;16.12.2001;3039
30.485;23.12.2001;3046
30.595;30.12.2001;3053
30.445;06.01.2002;3060
30.580;13.01.2002;3067
30.597;20.01.2002;3074
30.720;27.01.2002;3081
30.805;03.02.2002;3088
30.857;10.02.2002;3095
30.935;17.02.2002;3102
31.007;24.02.2002;3109
31.007;03.03.2002;3116
31.081;10.03.2002;3123
31.161;17.03.2002;3130
31.189;24.03.2002;3137
31.188;31.03.2002;3144
31.198;07.04.2002;3151
31.167;14.04.2002;3158
31.179;21.04.2002;3165
31.224;28.04.2002;3172
31.204;05.05.2002;3179
31.243;12.05.2002;3186
31.269;19.05.2002;3193
31.314;26.05.2002;3200
31.394;02.06.2002;3207
31.394;09.06.2002;3214
31.398;16.06.2002;3221
31.454;23.06.2002;3228
31.524;30.06.2002;3235
31.578;07.07.2002;3242
31.552;14.07.2002;3249
31.519;21.07.2002;3256
31.534;28.07.2002;3263
31.524;04.08.2002;3270
31.554;11.08.2002;3277
31.577;18.08.2002;3284
31.612;25.08.2002;3291
31.614;01.09.2002;3298
31.639;08.09.2002;3305
31.645;15.09.2002;3312
31.650;22.09.2002;3319
31.695;29.09.2002;3326
31.670;06.10.2002;3333
31.684;13.10.2002;3340
31.714;20.10.2002;3347
31.769;27.10.2002;3354
31.804;03.11.2002;3361
31.818;10.11.2002;3368
31.819;17.11.2002;3375
31.843;24.11.2002;3382
31.843;01.12.2002;3389
31.843;08.12.2002;3396
31.799;15.12.2002;3403
31.787;22.12.2002;3410
31.879;29.12.2002;3417
31.807;05.01.2003;3424
31.799;12.01.2003;3431
31.771;19.01.2003;3438
31.824;26.01.2003;3445
31.801;02.02.2003;3452
31.606;09.02.2003;3459
31.522;16.02.2003;3466
31.561;23.02.2003;3473
31.537;02.03.2003;3480
31.379;09.03.2003;3487
31.368;16.03.2003;3494
31.357;23.03.2003;3501
31.261;30.03.2003;3508
31.261;06.04.2003;3515
31.166;13.04.2003;3522
31.076;20.04.2003;3529
31.086;27.04.2003;3536
31.076;04.05.2003;3543
30.871;11.05.2003;3550
30.691;18.05.2003;3557
30.701;25.05.2003;3564
30.586;01.06.2003;3571
30.521;08.06.2003;3578
30.301;15.06.2003;3585
30.317;22.06.2003;3592
30.281;29.06.2003;3599
30.398;06.07.2003;3606
30.398;13.07.2003;3613
30.260;20.07.2003;3620
30.380;27.07.2003;3627
30.389;03.08.2003;3634
30.301;10.08.2003;3641
30.252;17.08.2003;3648
30.485;24.08.2003;3655
30.650;31.08.2003;3662
30.697;07.09.2003;3669
30.501;14.09.2003;3676
30.496;21.09.2003;3683
30.427;28.09.2003;3690
30.086;05.10.2003;3697
30.026;12.10.2003;3704
29.883;19.10.2003;3711
29.918;26.10.2003;3718
29.758;02.11.2003;3725
29.786;09.11.2003;3732
29.775;16.11.2003;3739
29.716;23.11.2003;3746
29.613;30.11.2003;3753
29.380;07.12.2003;3760
29.262;14.12.2003;3767
29.291;21.12.2003;3774
29.220;28.12.2003;3781
28.927;04.01.2004;3788
28.762;11.01.2004;3795
28.493;18.01.2004;3802
28.510;25.01.2004;3809
28.509;01.02.2004;3816
28.416;08.02.2004;3823
28.486;15.02.2004;3830
28.487;22.02.2004;3837
28.526;29.02.2004;3844
28.484;07.03.2004;3851
28.487;14.03.2004;3858
28.468;21.03.2004;3865
28.493;28.03.2004;3872
28.510;04.04.2004;3879
28.614;11.04.2004;3886
28.897;18.04.2004;3893
28.985;25.04.2004;3900
28.933;02.05.2004;3907
29.061;09.05.2004;3914
28.952;16.05.2004;3921
29.002;23.05.2004;3928
29.020;30.05.2004;3935
28.999;06.06.2004;3942
28.997;13.06.2004;3949
